nm_Kit_ID,mb_replicate,nm_Sampling_Date,fht_eDNA_survey_date,datecomp,fht_Site_comb,nm_Pond_Name,namedist,fht_Site_number,fht_Site_Name,Company,Sampler_Name,Sampling_DateTime,Arrival_Date,num_tubes,Damaged_tubes,Liquid_in_bag,Tubes_labelled,Tubes_filled,Additional_notes,Lab_work_Started,IPC_Positive_out_of_12,GCN_Positive_out_of_12,Status,Site_number_CHECK,GCN_Positive_Square,GCN_Negative_Square,Surveyor,1_km_square,Grid_reference,Easting,Northing,eDNA_score,GCN_test_result,Positive_no_kit,Kit_negative,Newt_Positive_sites,Newt_Negative_sites,HSI1_Pond_location,HSI2_Pond_area,HSI3_Pond_drying,HSI4_Water_quality,HSI5_Shade,HSI6_Waterfowl,HSI7_Fish,HSI8_Pond_count,HSI9_Terrestrial_habitat,HSI10_Macrophytes,DIMITRIOS_HSI,NO_HSI_REASON,SITE_FROM_DIMITRIOS,Inflow_present,Outflow_present,Nitrate,Phosphate,Clean,N,P,Acti_Angu_Angu_Anguangu,Acti_Cypr_Cobi_Cobitean,Acti_Cypr_Cypr_Abrabram,Acti_Cypr_Cypr_Albuunk,Acti_Cypr_Cypr_Blicunk,Acti_Cypr_Cypr_Caracara,Acti_Cypr_Cypr_Cyprcarp,Acti_Cypr_Cypr_Gobigobi,Acti_Cypr_Cypr_Leucidus,Acti_Cypr_Cypr_Phoxphox,Acti_Cypr_Cypr_Pimeprom,Acti_Cypr_Cypr_Rutiruti,Acti_Cypr_Cypr_Tinctinc,Acti_Cypr_Nema_Barbbarb,Acti_Esoc_Esoc_Esoxluci,Acti_Gast_Gast_Gastacul,Acti_Perc_Perc_Percluci,Amph_Anur_Bufo_Bufobufo,Amph_Anur_Rani_Ranatemp,Amph_Caud_Sala_Lisshelv,Amph_Caud_Sala_Lissvulg,Amph_Caud_Sala_Tritcris,Aves_Acci_Acci_Butebute,Aves_Anse_Anat_Aixgale,Aves_Anse_Anat_Anastado,Aves_Anse_Anat_Anatsp,Aves_Char_Lari_Larusp,Aves_Colu_Colu_Colulivi,Aves_Colu_Colu_Colusp,Aves_Gall_Phas_Phascolc,Aves_Grui_Rall_Fuliatra,Aves_Grui_Rall_Gallchlo,Aves_Pass_Acro_Acroscir,Aves_Pass_Corv_Garrglan,Aves_Pass_Corv_Picapica,Aves_Pass_Musc_Eritrube,Aves_Pass_Musc_Turdsp,Aves_Pass_Panu_Panubiar,Aves_Pass_Pari_Parumajo,Aves_Pass_Pass_Pass1,Aves_Pass_Pass_Pass2,Aves_Pass_Prun_Prunmodu,Aves_Pass_Stur_Sturvulg,Aves_Pass_Sylv_Sylvatri,Aves_Pass_Trog_Trogtrog,Aves_Pele_Arde_Ardecine,Aves_Pici_Pici_Dendmajo,Aves_Pici_Pici_Picuviri,Aves_Stri_Stri_Strisp,Mamm_Arti_Cerv_Caprcapr,Mamm_Arti_Cerv_Cervelap,Mamm_Arti_Cerv_Damadama,Mamm_Arti_Cerv_Hydriner,Mamm_Arti_Cerv_Muntreev,Mamm_Carn_Cani_Vulpvulp,Mamm_Carn_Must_Lutrlutr,Mamm_Carn_Must_Melemele,Mamm_Chir_Vesp_Myotnatt,Mamm_Chir_Vesp_Pipiaust,Mamm_Euli_Sori_Sorearan,Mamm_Euli_Talp_Talpeuro,Mamm_Rode_Cric_Arviterr,Mamm_Rode_Cric_Micragre,Mamm_Rode_Cric_Myodglar,Mamm_Rode_Muri_Apodsylv,Mamm_Rode_Muri_Rattnorv,Mamm_Rode_Sciu_Sciucaro
FHT580,1,2017/06/09 00:00:00,2017/06/09 00:00:00,MATCH,The moat,87b,1,NA,The moat,Freshwater Habitats Trust,HJ,NA,2017/06/22 00:00:00,6,No,No,Yes,Yes,NA,2017/06/27 00:00:00,12,0,Negative,NA,NA,1,Hanna,SP9547,SP9548147440,495481,247440,0,Negative,FALSE,TRUE,NA,Negative,1,40,3,3,95,3,3,>12,3,20,0.5436614851164129,NA,87b,N,N,<0.2,<0.2,1,0.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5909,0,0,940,0,0,0,1449,0,0,1141,252525,0,0,0,0,0,20843,379,0,0,0,0,0,0,719,198,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279
FHT759,1,2017/06/09 00:00:00,NA,NA,How End Cottage Pond B,2a,1,NA,How End Cottage Pond B,Freshwater Habitats Trust,HJ,NA,2017/06/22 00:00:00,6,No,No,Yes,Yes,NA,2017/06/27 00:00:00,12,1,Positive,NA,1,NA,HJ,TL0340,TL0339640313,503396,240313,1,Positive,FALSE,FALSE,Positive,NA,1,70,1,3,0,3,2,2,2,80,0.5688187389249776,NA,2a,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,65428,435,0,0,0,0,0,0,0,0,0,0,36285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT912,1,2017/06/16 00:00:00,2017/06/16 00:00:00,MATCH,71,Toddington Manor,1,71,NA,Freshwater Habitats Trust,Iain Naismith,2017/06/16 15:20:00,2017/06/23 00:00:00,6,No,No,Yes,Yes,NA,2017/06/28 00:00:00,12,0,Negative,71,1,NA,Iain,TL0029,TL0032629532,500326,229532,0,Negative,FALSE,TRUE,Negative,NA,1,2100,3,4,80,3,4,18,4,30,0.5450849869979864,NA,70,Y,Y,0.2-0.5,0.02-0.05,2,0.35,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56424,0,0,59470,82497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT927,NA,2017/06/15 00:00:00,2017/06/15 00:00:00,MATCH,524,Wards Farm,1,524,NA,Freshwater Habitats Trust,Iain Naismith,2017/06/15 18:30:00,2017/06/23 00:00:00,6,No,No,Yes,Yes,NA,2017/06/28 00:00:00,12,1,Positive,524,NA,1,Iain,SP9715,SP9752815056,497528,215056,1,Positive,FALSE,FALSE,NA,Positive,1,490.9375,3,3,0,3,4,4,3,5,0.7548921494550328,NA,524,N,N,<0.2,<0.02,2,0.1,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHT689,1,2017/05/21 00:00:00,2017/05/21 00:00:00,MATCH,241 Land at Belchers Farm and Ascot Farm,244 (SU6095798157),0.6324074074074074,241,Land at Belchers Farm and Ascot Farm,Freshwater Habitats Trust,IS,2017/05/21 16:00:00,2017/05/25 00:00:00,6,No,No,Yes,Yes,NA,2017/05/30 00:00:00,12,12,Positive,241,NA,1,Ian,SU6098,SU6095798157,460957,198157,12,Positive,FALSE,FALSE,NA,Positive,1,2700,1,3,100,2,3,>12,4,0.1,0.7696136340726079,NA,240,Y,Y,0.2-0.5,0.1-0.2,1,0.35,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102560,211960,0,3129,260589,0,0,22845,0,0,0,57392,0,0,6070,0,0,9716,0,4691,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT858,1,2017/06/11 00:00:00,2017/06/11 00:00:00,MATCH,Bletsoe,185/496 - Bletsoe,0.5994397759103642,NA,Bletsoe,Freshwater Habitats Trust,PSW,2017/06/11 15:50:00,2017/06/26 00:00:00,6,No,No,Yes,Yes,NA,2017/07/11 00:00:00,12,0,Negative,NA,1,NA,PSW,TL0259,TL02565955,502560,259550,0,Negative,FALSE,TRUE,Negative,NA,1,210,4,2,70,1,4,5,2,5,0.32092012358204325,NA,185/496,N,N,<0.2,1+,1,0.1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0,0,0,156204,507,0,0,14641,0,0,17604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT674,1,2017/05/23 00:00:00,2017/05/23 00:00:00,MATCH,NW of farm,Pond 292aSouth Down Park,0.5972222222222222,NA,NW of farm,Freshwater Habitats Trust,IS,NA,2017/06/01 00:00:00,6,No,No,Yes,Yes,NA,2017/06/05 00:00:00,12,0,Negative,NA,NA,1,IS,SU2591,SU2521991156,425219,191156,0,Negative,FALSE,TRUE,NA,Negative,1,400,1,4,60,3,4,1,4,70,0.8579172004440949,NA,292a,N,N,<0.2,0.05-0.1,1,0.1,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7826,0
FHT620,2,2017/06/21 00:00:00,2017/06/21 00:00:00,MATCH,Yelden NR Red Barn: surveyed twice by Hannah and Penny,330/852 - Shireway Pond,0.5853462157809984,NA,Yelden NR Red Barn: surveyed twice by Hannah and Penny,Freshwater Habitats Trust,HW,2017/06/21 16:20:00,2017/07/03 00:00:00,6,No,No,Yes,No,NA,2017/07/04 00:00:00,0,1,Positive,NA,NA,1,Hannah,TL0065 ,TL00956523,500950,265230,1,Positive,FALSE,FALSE,NA,Positive,1,240,3,3,70,3,4,4,2,30,0.6883372141383167,NA,330 / 852,N,N,<0.2,0.05-0.1,1,0.1,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT620,1,2017/06/21 00:00:00,2017/06/21 00:00:00,MATCH,Yelden NR Red Barn: surveyed twice by Hannah and Penny,330/852 - Shireway Pond,0.5853462157809984,NA,Yelden NR Red Barn: surveyed twice by Hannah and Penny,Freshwater Habitats Trust,HW,2017/06/21 16:20:00,2017/07/03 00:00:00,6,No,No,Yes,No,NA,2017/07/04 00:00:00,0,1,Positive,NA,NA,1,Hannah,TL0065 ,TL00956523,500950,265230,1,Positive,FALSE,FALSE,NA,Positive,1,240,3,3,70,3,4,4,2,30,0.6883372141383167,NA,330 / 852,N,N,<0.2,0.05-0.1,1,0.1,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHT693,1,2017/05/13 00:00:00,2017/05/13 00:00:00,MATCH,18 BBOWT Typha pond in SW of Dry Sandford Pit,18P (SU 40979 99426),0.5695767195767196,18,BBOWT Typha pond in SW of Dry Sandford Pit,Freshwater Habitats Trust,IS,2017/05/13 16:40:00,2017/05/23 00:00:00,6,No,No,Yes,Yes,NA,2017/05/24 00:00:00,12,0,Negative,18,1,NA,Ian,SU4699,SU4679999495,446799,199495,0,Negative,FALSE,TRUE,Negative,NA,1,200,3,4,75,3,4,7,4,30?,0.767106843550955,NA,18,N,N,<0.2,<0.02,2,0.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124567,943,0,0,0,0,0,0,0,0,0,0,161614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
